src_legal,tgt_plain
"To prevail on such a claim, the plaintiff must establish that: (1) he is a member of a protected class; (2) was subjected to unwelcome sexual harassment; (3) the harassment was based on sex; (4) the harassment created a hostile work environment; and that (5) the employer is vicariously liable.","To obtain a favorable decision, the suer must show the following: (1) he is a member of a protected group; (2) was sexually harassed; (3) the harassment was based on sex and (4) worsened the work environment; and that (5) the employer is responsible at least indirectly."
"While several circuits have held that merely placing child pornography in a shared folder on a file sharing network warrants application of a distribution enhancement, no circuit has relied on the Sentencing Guidelines definition of “distribution” to interpret the meaning of the term in § 2252(a)(2).","Several courts have decided that placing child pornography in a shared folder on a file-sharing network requires distribution enhancement. However, no court has used the Sentencing Guidelines definition of ""distribution"" to clarify the term's meaning."
"Therefore, “if a restriction or condition is not reasonably related to a legitimate goal — if it is arbitrary or purposeless a court permissibly may infer that the purpose of the governmental action is punishment that may not constitutionally be inflicted upon detainees qua detainees.”","Therefore, if a restriction or condition is purposeless, a court may assume by law that the purpose of the governmental action is an unfair and unusual punishment."
"Lastly, he alleges that on August 20, 2014, he learned the “forms never reach[ed] [the New] Orleans[] [RO]” and “the counselor [] was upset that [he] continue® to call asking about these form[s] and want[ed] to know who [] [he] had been talking to,” and refused to filed a notice of appeal.","Lastly, he claims that on August, 2014, he learned the “forms never reach[ed] [the New] Orleans[] [RO]” and “the counselor [] was upset that [he] continue® to call asking about these form[s] and want[ed] to know who [] [he] had been talking to,” and refused to file a notice of application."
"A jury is not required to accept an expert’s opinion, and defendants’ experts present different opinions, but a jury could reasonably find, on the basis of plaintiffs’ experts’ opinions, that it is more likely than not that one of defendants’ PIFs was contaminated and caused E.B.’s illness,","A jury does not have to accept an expert's opinion, and defendants' experts present different views. However, based on suers' experts' views, a jury could somewhat find that it is more likely than not that one of the defendants' PIFs was contaminated and caused E.B.'s illness,"
"Approximately one week later, the FTC and Defendant filed a Consent Judgment and Order in which Defendant agreed to, among other things, not assess or collect “any Fee for a Default-Related Service unless it is a reasonable Fee charged ... for a Default-Related Service that is actually performed.” (Doc.","About one week later, the FTC and the defendant decided on a Consent Judgment and Order. Defendant agreed to this. This included not assessing or collecting “any Fee for a Default-Related Service unless it is a reasonable Fee charged ... for a Default-Related Service that is actually performed.” (Doc."
"The date of admission to a non-VA hospital where a veteran was maintained at VA expense will be accepted as the date of receipt of a claim, if VA maintenance was previously authorized; but if VA maintenance was authorized subsequent to admission, the date VA received notice of admission will be accepted.","The date of admission of a veteran maintained at VA expense at a non-VA hospital is the date of receipt of a claim if VA maintenance was previously authorized. However, if VA maintenance was granted after the admission, the date VA received is the date of admission."
Ms. Haynes later submitted a request to the Regional Office to reopen her claim on the presentation of new documentation showing a decision by the Army Board of Correction of Military Records (“ABCMR”) to award Ms. Haynes an annuity as a “former spouse” under the Uniformed Services Former Spouse Protection Act (“USFSPA”).,Ms. Haynes later submitted a request to the Regional Office to reopen her claim on the presentation of new documentation. This showed a decision by the Army Board of Correction of Military Records (“ABCMR”) to award Ms. Haynes an annuity as a “former spouse” under the Uniformed Services Former Spouse Protection Act (“USFSPA”).
"Five months after Mayor Graf was elected, he published a “From Your Mayor” opinion piece in the Farmingdale Observer, which stated, in part: “We have defined an area of the Village for possible redevelopment and have ... put this plan on the ‘front burner.’ Much of the property [near] Secatogue Avenue ... is within the ‘blighted’ area.” (Ex.",Mayor Grad published a “From Your Mayor” opinion piece in the Farmingdale Observer after he was elected five months ago. This opinion piece stated: “We have defined an area of the Village for possible redevelopment and have ... put this plan on the ‘front burner.’ Much of the property [near] Secatogue Avenue ... is within the ‘blighted’ area.”
"The district court had federal question jurisdiction over the § 1983 claim and supplemental jurisdiction over the state-law gross negligence claim, and ""a federal court exercising supplemental jurisdiction over state law claims is bound to apply the law of the forum state to the same extent as if it were exercising its diversity jurisdiction.” Bass v. First Pac.","The district court had supplemental jurisdiction over the state-law gross negligence claim and federal question jurisdiction over the 1983 claim. According to the law, ""a federal court exercising supplemental jurisdiction over state law claims is bound to apply the law of the forum state to the same extent as if it were exercising its diversity jurisdiction."" Bass v. First Pac"
"Those guidelines, the 2005 Flow Plan explicitly provides, are set forth in “SunTrust Mortgage guidelines that are currently being used and have been mutually agreed upon.” The partial integration doctrine obtains in situations where, wholly unlike this one, the written instrument is silent on a material issue and consequently fails to impart a “complete legal obligation.” Cf.",The guidelines in the 2005 Flow Plan are set clearly in “SunTrust Mortgage guidelines that are currently being used and have been mutually agreed upon.” The partial integration policy is unlike this guideline in a few situations. The situations are: the written instrument is indecisive on a material discussion and fails to create a “complete legal obligation” afterwards.
"On appeal to this Court, the appellant argued that she satisfied the criteria for non-service-connected burial benefits because (1) the phrase “in receipt of compensation” in section 2302(a)(1) should be interpreted to include those veterans who were entitled to receive compensation at death, and (2) Mr. Wingard was entitled to receive compensation at the time of his death because 38 U.S.C.","While contacting this court, the suer argued that she satisfied the requirements for non-service-connected burial support due to a few reasons. These reasons include: (1) veterans deserving compensation at death should be included in the phrase “in receipt of compensation” in section 2302(a)(1), and (2) Mr. Wingard deserved compensation at his death because 38 U.S.C."
"In order to establish a prima facie case for discrimination under § 1981, the plaintiff must show that (1) it is a member of a protected class; (2) it sought to enter into a contractual relationship with the defendant; (3) it met the defendant’s ordinary requirements to enter into a contract with it; (4) it was denied the opportunity to enter into a contract with the defendant that was otherwise afforded to companies owned by whites.",The suer must show four things to establish a prima facie case of discrimination under § 1981: (1) it is a member of a protected group; (2) it sought to enter into a contractual relationship with the defendant; (3) it satisfied the defendant's normal requirements to enter into a contract with it; and (4) it was denied the opportunity to enter into a contract with the defendant that was typically granted to businesses owned by white people.
"Courts may issue a writ of mandamus only if three conditions are satisfied: 1) the petitioner must demonstrate that he lacks adequate alternative means to attain the desired relief, thus ensuring that the writ is not used as a substitute for the appeals process, 2) the petitioner must demonstrate a clear and indisputable right to the writ, and 3) the court must be convinced, given the circumstances, that the issuance of a writ is warranted.","Courts may order an official to complete their duties only if the following three conditions are met: 1) the petitioner must show that he lacks a decent alternative way to gain the desired relief, guaranteeing that the order is not used as a substitute for the appeals process, 2) the petitioner must show a clear and undeniable right to the order, and 3) the court must be convinced, given the situation, that the order is required."
"In determining when an action is commenced by the Secretary of Labor under this subsection for the purposes of the statutes of limitations provided in section 255(a) of this title, it shall be considered to be commenced in the case of any individual claimant on the date when the complaint is filed if he is specifically named as a party plaintiff in the complaint, or if his name did not so appear, on the subsequent date on which his name is added as a party plaintiff in such action.","To determine when the Secretary of Labor starts an action under this subsection for the purposes of the statutes of limitations outlined in section 255(a) of this title, it will be considered to have started in the case of any individual claimant on the date the complaint is filed if he is specifically named as a party plaintiff in the complaint, or if his name did not so appear, on the subsequent date on which his name is added as a party plaintiff in such action."
"While a federal court may exercise supplemental jurisdiction over state law claims “that are so related to claims in the action within [the Court’s] original jurisdiction that they form a part of the same case or controversy under Article III of the United States Constitution,” a court may decline to exercise such jurisdiction where it “has dismissed all claims over which it has original jurisdiction.” Indeed, unless “consideration of judicial economy, convenience and fairness to litigants” weigh in favor of the exercise of supplemental jurisdiction, “a federal court should hesitate to exercise jurisdiction over state claims.” Because Plaintiffs complaint fails to state a viable federal claim, and because this case is at the beginning stages of litigation, the Court declines to exercise supplemental jurisdiction over Plaintiffs state law claims at this time.","A federal court may give extra decisions over state law if the state law claims are closely related to the main claims in the case. However, if the court dismisses all the primary claims, it can choose not to handle the state law claims. If it's not more efficient, convenient, and fair for everyone involved, the court should be cautious about handling state law claims. Because the Plaintiffs' complaint doesn't have a valid federal claim, and because this case is in the early stages of the legal process, the Court declines to give extra decisions over the Plaintiffs' state law claims right now."
"While there is no evidence in the Thurman opinion that the plaintiff expressly challengfed the application of the limitations provision on the basis of the change in corporate entity, this Court finds the Sixth Circuit’s application of the Chrysler Corporation provision instructive; in the absence of evidence or legal authority to the contrary, the agreement with Pinnacle precludes a finding of a legitimate expectation of just cause employment.","The Thurman opinion doesn't have any evidence that the plaintiff challenged the use of the limit provision because of the change in the company's structure. However, this Court considers the Sixth Circuit's application of the Chrysler Corporation provision as helpful. Unless there is evidence or legal support against it, the agreement with Pinnacle prevents a valid claim of expecting fair employment conditions."
"In this matter, Dr. Pence offers four opinions: (1) BSC did not conduct adequate testing of the Pinnacle product prior to placing them on the market; (2) the Pinnacle product was inadequately labeled; (3) patients could not adequately consent to the surgical implantation of the Pinnacle due to the misbranding of these products; and (4) BSC failed to meet the post-market vigilance standard of care for their products, leading to further mis-branding.","In this case, Dr. Pence has four opinions: (1) BSC didn't test the Pinnacle product enough before selling it; (2) the Pinnacle product didn't have proper labels; (3) patients couldn't give proper consent for the surgical implantation of the Pinnacle because of the incorrect labeling of these products; and (4) BSC didn't meet the post-market safety standards for their products, which caused more incorrect branding."
"However, even if the Plaintiff does so and makes out a prima facie retaliation claim because “there is evidence that the adverse employment action was motivated in part by protected speech, the government can avoid liability if it can show that it would have taken the same adverse action in the absence of the protected speech.” Heil v. Santoro, 147 F.3d 103, 109 (2d Cir.1998).","But even if the Plaintiff does that and proves a clear case of retaliation because ""there is evidence that the unfair job action was partly motivated by protected speech, the government can avoid legal action if it can show that it would have taken the same action even without the protected speech."" Heil v. Santoro, 147 F.3d 103, 109 (2d Cir.1998)."
"Moreover, any such inference is belied by Commerce’s reference to its final determination in Galvanized Steel and Wire From the People's Republic of China, which describes Commerce's offsetting practice for the AD cash deposit rate as premised only on the concept that domestic subsi dies had a symmetrical effect upon export and domestic prices.","Also, any such conclusion is contradicted by Commerce's mention of its final decision in the case of Galvanized Steel and Wire From the People's Republic of China, which describes that Commerce's offsetting practice for the AD cash deposit rate is based on the idea that domestic subsidies have an equal impact on both export and domestic prices."
"Ms. Swanson also argues that the Veterans Court failed to decide an issue correctly, but she does not support this allegation with anything more than the phrase “controversies to which the United States shall be a part” followed by citations to two Supreme Court cases addressing the scope of the judicial power under Article III.","Ms. Swanson also says that the Veterans Court didn't make the right decision on an issue, but she doesn't back up this claim with anything other than the phrase ""controversies to which the United States shall be a part"" and mentions two Supreme Court cases related to the power of the courts under Article III."
"However, other Ninth Circuit cases shed some light on exactly when detention becomes “prolonged.” First, in Nadarajah v. Gonzales, the Ninth Circuit reviewed Supreme Court cases and found that the Court had “used the six-month period as the touchstone of reasonableness.” 443 F.3d 1069, 1080 (9th Cir.2006).","However, other cases in the Ninth Circuit explains us when detention is considered ""prolonged."" For example, in the case of Nadarajah v. Gonzales, the Ninth Circuit looked at Supreme Court cases and saw that the Court used the six-month period as the base for reasonableness."
"Based on the totality of the circumstances—the anonymous caller claiming to have eye-witness knowledge, the contemporaneous reporting of the activity, and the specificity of the description of the person holding the firearm, which the PRPD matched to Rivas-Castro—the call was reliable.","Considering all the information available—the anonymous caller claiming to have seen everything, the immediate reporting of the incident, and the detailed description of the person with the gun, which matched Rivas-Castro according to the PRPD—the call was reliable."
"Citadel further alleges that it has been damaged by “breach of the parties’ agreement because it has lost the benefit of the bargain it would have otherwise enjoyed if it had been able to complete the project and lease it to [WRMC], as called for in the parties’ agreement.”","Citadel also claims that it suffered harm because the agreement between the parties was broken because of losing the benefits that Citadel would have gotten if they could have finished the project and rented it to WRMC, as the agreement stated."
"Plaintiffs also admit that “the Complaint and the exhibits ... allege a pattern of racketeering extending to just under one year,” but they argue- that “the ‘two year’ requirement in order to establish closed-ended continuity is not a bright-line rule.” (Pis.’ Opp’n Br.","Plaintiffs also says that ""the complaint and the exhibits ... claim that there was a pattern of organized criminal activity for around a year."" but they claim that the two year rule in order to achieve limited time continuity is not a right rule."
"In her summary judgment briefs, Otico presented a surprise argument (a surprise to Hawaiian and to the Court, anyway) that Hawaiian failed to pay her for ten minutes of time she worked on each of eight separate days after she’d completed the training program.","In her summary for the judgment, Otico made an unexpected argument (it was a surprise to Hawaiian and the Court) that Hawaiian didn't pay her for ten minutes of work on eight separate days after she finished the training program."
"Although the title refers to wartime, section 1157 extends the compensation rates in sub-chapter II ""to those veterans who served during a period of war and during any other time, who have suffered a disability in the line of duty in each period of service.”","Even though the title is about war times, section 1157 increases the payment rates in sub-chapter II for veterans who served in wartime and also in other times, as long as they got a disability while on duty during each period of service."
Tutin also wrote that Santangelo struggled to adapt even though he was expected to recognize problems and react more quickly moving forward and that Tu-tin expected Santangelo to transform Alsip into a more robust and flexible group capable of addressing industry challenges.,Tutin also wrote that Santangelo had problems to adapt even though he was expected to remember problems and act more quickly progressing and that Tu-tin expected Santangelo to turn Alsip into a more strong and flexible group able to address industry challenges.
"Without an admission from GEICO, medical testimony from an expert or her treating physician, or circumstances of the type that lay jurors could extrapolate from the evidence a causal connection between accident and injury, Blair is unable to make that showing as a matter of law.","If GEICO did not admit it, there is no medical testimony from an expert or her doctor, and there are no circumstances that regular jurors could understand and link to show the causal connection between the accident and her injury. Blair cannot prove that as a matter of law."
"The Board also found that the medical evidence of record, especially the 2011 examiner’s report, showed that other post-service injuries and normal wear and tear of age and his employment as a truck driver, not any basic training injury, most likely caused Vann’s lower back pain.","The Board also concluded that the medical evidence available, particularly the report from the examiner in 2011, indicated that the cause was other injuries that happened after his service, as well as the natural effects of aging and his job as a truck driver. It did not seem to be any injury during his basic training, Vann's lower back pain was likely cause."
"Finally, contrary to Defendant Hernandez’s assertions, the Report concluded that, based upon the “supporting documentation, it appears that [EPFCU] sustained a loss of at least $19 million resulting from the actions of their former employee ... Hernandez.” Report 4 (emphasis added).","Lastly, going against what Defendant Hernandez claims, the Report stated that, after looking at the evidence, it seems that EPFCU experienced a loss of at least $19 million because of their former employee, Hernandez."
"The Second Amended Complaint makes clear that the relator is alleging that Boston Heart’s claims were “legally false” because, according to the relator, Boston Heart certified that the tests it performed were medically necessary even though they were not medically necessary for certain populations.","The Second Amended Complaint states that the person bringing the lawsuit is claiming that Boston Heart made ""legally false"" statements, beacause according to the person, Boston Heart certified that the tests it performed were medically necessary, even though they were not necessary for certain populations."
"Relying on these cases and a textual analysis of the provisions at issue, Husic argues that § 212(h) has been made unavailable only to an alien who was admitted as an LPR, rather than one who, like Husic, adjusted to LPR status once already in the United States after lawful entry as a visitor.","Using these cases and a textual analysis of the of the rules in question, Husic argues that § 212(h) has only been unavailable for outsiders who was admitted an an LPR, not for someone like Husic who became an LPR after entering the United States lawfully as a visitor."
"Similarly, the fact that the regulation authorizes a single extra-schedular evaluation— “an extra-schedular evaluation” — arising from the “disability or disabilities” indicates that referral for extra-schedular evaluation may be based on the collective impact of the veteran’s disabilities.","Similarly, the fact that the rule allows for one additional evaluation ""extra-schedular evaluation"" based on the ""disability or disabilities"" suggests that the referral for such an evaluation can be based on the overall impact of all the veteran's disabilities."
"Considering the policy and purpose behind Rule 13(a), the court permitted the claim to go forward because it found no sign of the “circuity of action that Rule 13(a) was aimed at preventing,” since the plaintiffs bringing of multiple actions was required by statute.","Taking into account the policy and reason behind Rule 13(a), the court allowed the claim to proceed because it didn't see any indication of the ""circuity of action that Rule 13(a) was aimed at preventing,"" since the plaintiffs were obligated to bring multiple actions according to the law."
"Second, appointing an interim director does not require the appointing authority to provide the same benefits; indeed, if it did, then the on-leave employee could contend that the position was filled on a permanent basis while she was on FMLA leave.","Second, appointing an interim director does not need the appointing authority to provide the same benefits; indeed, if it did, then the on-leave employee could contend that the position was filled on a non-temporary basis while she was on FMLA leave."
"Once the movant properly configures a summary-judgment motion, the burden shifts onto the nonmovant—or “the party who bears the burden of proof at trial,” Geshke v. Crocs, Inc., 740 F.3d 74, 77 (1st Cir.","Once the movant properly configures a summary-judgment motion, the burden transfers onto the nonmovant—or “the party who bears the burden of proof at trial,” Geshke v. Crocs, Inc."
"Furthermore, the plaintiff concedes in her Opposition that the Act was enacted “to keep D.C. residents out of harm’s way,” and therefore creates a “general public duty.” Pl.’s Opp’n to Defs.’ Mot.","Furthermore, the plaintiff acknowledges in her Opposition that the Act was enacted “to keep D.C. residents out of harm’s way,” and therefore establishes a “general public duty.” Pl.’s Opp’n to Defs.’ Mot."
"In addition, the Secretary states that “it is clear [that DC] 5284 is not applicable in this case,” as the plain language of that DC “foreclose[s] rating a foot condition ... that was not the result of an in-service injury.”","In addition, the Secretary argues that “it is clear [that DC] 5284 is not suitable in this case,” as the plain language of that DC “foreclose[s] rating a foot condition ... that was not the consequence of an in-service injury.”"
"Plaintiff concedes that her wrongful discharge claim “does not fit within the limitations of the WLAD, FMLA or WFLA because she did not meet the required number of hours worked in the year prior to the accrual of her claim.” ECF No.","Plaintiff concedes that her wrongful discharge claim “does not fit within the restrictions of the WLAD, FMLA or WFLA because she did not meet the required number of hours worked in the year previous to the accrual of her claim.”"
"Because the State of South Dakota filed suit on its own accord in state court in this case, at a time of its own choosing, with its hand-picked defendants, no such unfair prejudice is present, and FAG Bearings can appropriately be distinguished.","Because the State of South Dakota filed suit on its own accord in state court in this case, at a time of its own choosing, with its hand-picked defendants, no such unjust prejudice is present, and FAG Bearings can appropriately be acclaimed."
"The Government has called at trial two so-called “cooperating witnesses,” ie, alleged co-conspirators of the defendants who have pleaded guilty and who are “cooperating” with the Government by testifying at trial in hopes of receiving a sentence reduction.","The Government has called at trial two so-called “cooperating witnesses,” ie, alleged co-conspirators of the defendants who have pleaded guilty and who are “cooperating” with the Government by testifying at trial in hopes of receiving a sentence cut."
"A farmout agreement is ""[a] very common form of agreement between operators, whereby a lease owner not desirous of drilling at the time agrees to assign the lease, or some portion of it (in common or in severalty) to another operator who is desirous of drilling the tract.""","A farmout agreement is ""[a] very common form of agreement between operators, whereby a lease owner not eager for drilling at the time agrees to assign the lease, or some part of it (in common or in severalty) to another operator who is desirous of drilling the tract."""
"To the extent Mr. Washington argues that the Veterans Court should have decided the gunshot wound claim in his favor without requiring a remand, he raises factual .issues of sufficiency of the evidence concerning his duty status at the time he was shot, and issues of his credibility.","To the extent Mr. Washington argues that the Veterans Court should have decided the gunshot wound claim in his favor without requiring a remand, he raises truthful .issues of adequacy of the evidence concerning his duty status at the time he was shot, and issues of his reliability."
"The Fourth Circuit reasoned that Geriatric Release does pot provide juveniles with the opportunity to obtain release “based on demonstrated maturity and rehabilitation,” as required by Graham, because the Parole Board has the authority to deny release “for any reason whatsoever.”","The Fourth Circuit reasoned that Geriatric Release does pot provide juveniles with the chance to acquire release “based on demonstrated maturity and rehabilitation,” as required by Graham, because the Parole Board has the authority to reject release “for any reason whatsoever.”"
"Before this court, Mr. Smith characterizes the Plan as a settlement agreement and argues that the Veterans Court failed to “enforce” the settlement agreement; Mr. Smith requests that we remand his case to the Veterans Court with instructions that it “enforce” the settlement agreement approved by this court in NOVA.","Before this court, Mr. Smith characterizes the Plan as a settlement agreement and states that the Veterans Court failed to “enforce” the settlement agreement; Mr. Smith demands that we remand his case to the Veterans Court with instructions that it “enforce” the settlement agreement approved by this court in NOVA."
"In this case, where the plaintiff has not produced time-sheets and the defendant has failed to respond, the Court will accept Martinez’s declaration, submitted under the penalty of perjury, as to the hours she worked and wages she received, except to the extent that her declaration seeks relief beyond that sought in the complaint.","In this case, where the plaintiff has not created time-sheets and the defendant has failed to respond, the Court will accept Martinez’s declaration, submitted under the penalty of perjury, as to the hours she worked and wages she received, except to the extent that her statement seeks comfort beyond that sought in the complaint."
"In all, the development of the Plan entailed a process of shifting and re-shifting portions of the County from one district to another, reviewing the resdlt, and trying again.” The Commissioners deferred greatly to Brace in developing the remedial plans, and further deferred to Brace and their attorneys regarding the plans’ legality.","In all, the development of the Plan brought an action of shifting and re-shifting parts of the County from one district to another, reviewing the resdlt, and trying again.” The Commissioners deferred greatly to Brace in developing the remedial plans, and further deferred to Brace and their attorneys regarding the plans’ legality."
"The quagmire of alternative definitions for assault on a female is further highlighted in the more recent cases arising out of the North Carolina appellate courts, which seem to recognize proof of either force or violence, particularly in cases where a battery based on force alone, even if only slight, provides the basis for the “assault” element of the crime.","The quagmire of alternative definitions for offense on a female is further highlighted in the more current cases arising out of the North Carolina appellate courts, which seem to recognize proof of either force or violence, specifically in cases where a battery based on force alone, even if only slight, provides the basis for the “assault” component of the crime."
"The Wisconsin Supreme Court concluded that chapter 980 did not require dismissal of Gilbert’s commitment petition because the chapter does not contain language allowing for dismissal in his circumstances, does not set a time period for execution of a commitment order, and provides that an individual may be simultaneously committed under chapter 980 and incarcerated at a DOC facility.","The Wisconsin Supreme Court finalized that chapter 980 did not require dismissal of Gilbert’s commitment petition because the chapter does not contain language permitting for dismissal in his circumstances, does not arrange a time period for execution of a commitment order, and provides that an individual may be simultaneously committed under chapter 980 and incarcerated at a DOC facility."
"Plaintiff Fraternal Order of Police Penn-Jersey Lodge 30 (“FOP”) brought this action against Defendant Delaware River Port Authority (“DRPA”) to move the Court for a mandatory injunction ordering the DRPA to submit to binding interest arbitration over the terms and conditions of employment for the patrol officers, corporals, and sergeants whom FOP represents and whom DRPA employs.","Plaintiff Fraternal Order of Police Penn-Jersey Lodge 30 (“FOP”) brought this action against Defendant Delaware River Port Authority (“DRPA”) to move the Court for a compulsory injunction ordering the DRPA to submit to binding interest arbitration over the terms and conditions of employment for the patrol officers, corporals, and sergeants whom FOP represents and whom DRPA employs."
"Third, because applications for second or successive petitions based on Johnson arguably must be filed before June 26, 2016 (we do not decide that question now), if the Supreme Court concludes in Welch that Johnson is retroactive, failing to hold the applications in abeyance could deprive petitioners of the benefit of Johnson’s ret-roactivity and render a determination of retroactivity meaningless, as a practical matter.","Third, because applications for second or consecutive petitions based on Johnson arguably must be filed before June 26, 2016 (we do not decide that question now), if the Supreme Court concludes in Welch that Johnson is retroactive, failing to hold the applications in abeyance could strip petitioners of the benefit of Johnson’s ret-roactivity and render a determination of retroactivity pointless, as a practical matter."
"Finally, this Court has considered Peters’s reliance on United States v. Quinones, wherein the court, faced with a similar motion, granted the defendant’s request for a stay of forfeiture, reasoning that “[i]f the government were to sell the four parcels in such a [slumped] market, they [sic] would, in effect, be foregoing any potential for appreciation in value once the market recovers; this loss will ultimately be borne by [the defendant] if the forfeiture order is reversed on appeal.” No.","Finally, this Court has took into account Peters’s reliance on United States v. Quinones, wherein the court, faced with a similar motion, granted the defendant’s demand for a stay of forfeiture, reasoning that “[i]f the government were to sell the four parcels in such a [slumped] market, they [sic] would, in effect, be foregoing any potential for appreciation in value once the market recovers; this loss will ultimately be borne by [the defendant] if the forfeiture order is reversed on appeal.”"
"On appeal, Niehaus reinterprets the accepted facts of this case and attempts to paint USB as an “ ‘eyes wide open’ participant in the fraud.” She bases her allegation that USB conspired with her on the assertions that (1) USB knew of her unlawful conduct by early 2010 when it confronted her about her fraud and asked her to resign; (2) one of USB’s owners refused her resignation and thereby allowed her to continue to embezzle funds; (3) USB advised her to withdraw D.C. and J.C.’s funds and transfer the money to another bank; arid (4) in the civil suit, USB agreed to release Nie-haus from any and all claims relating to the litigation.","On appeal, Niehaus reevaluates the accepted facts of this case and attempts to paint USB as an “ ‘eyes wide open’ participant in the fraud.” She bases her allegation that USB conspired with her on the assertions that (1) USB knew of her unlawful conduct by early 2010 when it confronted her about her cheat and asked her to resign; (2) one of USB’s owners refused her resignation and thereby permitted her to continue to embezzle funds; (3) USB advised her to withdraw D.C. and J.C.’s funds and move the money to another bank; arid (4) in the civil suit, USB agreed to release Nie-haus from any and all claims relating to the litigation."
"Witness, for example, his continued emphasis on the facts that Mr. Mitchell could have appealed the September 2003 decision, challenged its determination that new and material evidence had not been submitted, and raised the fact that VA never respond ed to the December 1973 audiogram, but failed to do so, post at 445, even though the Federal Circuit explicitly rejected almost identical objections in Beraud, see 766 F.3d at 1406 n. 1.","Witness, for example, his proceeded emphasis on the facts that Mr. Mitchell could have appealed the September 2003 decision, challenged its determination that fresh and material evidence had not been submitted, and raised the truth that VA never respond ed to the December 1973 audiogram, but failed to do so, post at 445, even though the Federal Circuit explicitly denied almost identical objections in Beraud, see 766 F.3d at 1406 n. 1."
"The court’s central purpose in granting leave to implead a third party is “to promote judicial efficiency by eliminating the necessity for the defendant to bring a separate action against a third individual who may be secondarily or derivatively liable to the defendant for all or part of the plaintiffs original claim.” Sw. Adm’rs, Inc. v. Rozay’s Transfer, 791 F.2d 769, 777 (9th Cir.1986).",The court's main purpose to granting a third party joining into the lawsuit is to promote judicial efficiency. This is achieved by eliminating the necessity for the defendant to bring a separate action against a third individual who may be indirectly liable to the defendant for all or part of the claimant's original claim.
"A reciprocal insurance exchange, “in its pure form ... is a web of contractual relationships between subscribers who agree to insure one another, consummated through a common agent with power of attorney.” The overriding question is whether USAA is properly treated as a corporation or an unincorporated association for purposes of diversity jurisdiction.","A corresponding insurance exchange, in its pure form, is a web of contractual relationships between subscribers who agree to insure one another, completed through a common agent with power of attorney. The overriding question is whether USAA is properly treated as a corporation or an unincorporated association for purposes of Federal Court's authority on subject matter."
"Congress enacted the FDCPA in 1977 “to eliminate abusive debt collection practices by debt collectors, to insure that those debt collectors who refrain from using abusive debt collection practices are not competitively disadvantaged, and to promote consistent State action to protect consumers against debt collection abuses.” 15 U.S.C.","Congress enacted the FDCPA in 1977 “to eliminate abusive debt collection practices by debt collectors, to insure that those debt collectors who refrain from using abusive debt collection practices are not competitively disadvantaged, and to promote consistent State action to protect consumers against debt collection abuses.” 15 U.S.C."
"See e.g., Potts, 882 F.2d at 1324 (“A statute modifying the content of state tort law doctrines of contributory and comparative negligence seems to us to be a classic example of the type of substantive rule of law binding upon a federal court in a diversity case.”); Winningham v. Swift Trans.","See e.g., Potts, 882 F.2d at 1324 (“A statute modifying the content of state tort law doctrines of contributory and comparative lack of care seems to us to be a classic example of the type of fundamental rule of law binding upon a federal court in a diversity case.”); Winningham v. Swift Trans."
"“If the conduct did not violate a clearly established constitutional right, or if it was objectively reasonable for the [official] to believe that his conduct did not violate such a right, then the [official] is protected by qualified immunity.”","“If the conduct did not violate a clearly established constitutional right, or if it was objectively reasonable for the [official] to believe that his conduct did not violate such a right, then the [official] is protected by qualified immunity.”"
"Here, relying on its president’s affidavit, plaintiff alleges that “stock ownership [in Patriot Lines and Vessel Operations] was restricted to the Brophys and that the two companies existed as a ‘facade for the [Brophys’] operations.’ ” (Paper No.","In this case, the plaintiff claims, based on the affidavit of their president, that stock ownership in Patriot Lines and Vessel Operations was limited to the Brophy family and that these two companies were essentially a front for the Brophys' activities."
"But the bottom line is the more protection, if you will, we can provide for the families of those who are going through what has to be just the most horrific time in their life, I think we have an obligation to do it.","In essence, we have a responsibility to offer greater support and protection to the families experiencing what is undoubtedly the most dreadful period in their lives."
"Instead, “[vigorous cross-examination, presentation of contrary evidence, and careful instruction on the burden of proof are the traditional and appropriate means of attacking shaky but admissible evidence.” Daubert, 509 U.S. at 595, 113 S.Ct.","Instead, “[vigorous other party interrogation, presentation of contrary evidence, and careful instruction on the burden of proof are the traditional and appropriate means of attacking shaky but admissible evidence.”"
"Such standards are critical because even in cases where a regulation is content- neutral on its face, “placing unbridled discretion in the hands of a government official or agency ... may result in censorship.” Lakewood, 486 U.S. at 758, 108 S.Ct.","Such standards are critical because even in cases where a regulation is content- neutral on its face, “placing unconstrained freedom to decide in the hands of a government official or agency ... may result in censorship.” Lakewood, 486 U.S. at 758, 108 S.Ct."
The Agreement further states that the “arbitrators must make their decision within 60 days following the termination of the hearing” and that “[t]he majority decision of any two arbitrators” of the three-arbitrator panel “will be final and binding” on the parties.,The Agreement further states that the “arbitrators must make their decision within 60 days following the ending of the hearing” and that “[t]he majority decision of any two arbitrators” of the three-arbitrator panel “will be final and binding” on the parties.
"Here, Giwa has presented no evidence at all to counter Landes’ affidavit that sets forth her understanding of the facts on which she based her conclusion that Giwa was under-performing as a Senior Urban Planner or that he made mistakes that deserved a lower rating.","Here, Giwa has presented no evidence at all to counter Landes’ statement under oath. That sets forth her understanding of the facts, on which she based her conclusion that Giwa was under-performing as a Senior Urban Planner or that he made mistakes that deserved a lower rating."
